"Label (Grouping)","Guam!!Total","Guam!!One Race!!Total","Guam!!One Race!!Native Hawaiian and Other Pacific Islander!!Total","Guam!!One Race!!Native Hawaiian and Other Pacific Islander!!Carolinian","Guam!!One Race!!Native Hawaiian and Other Pacific Islander!!Chamorro","Guam!!One Race!!Native Hawaiian and Other Pacific Islander!!Chuukese","Guam!!One Race!!Native Hawaiian and Other Pacific Islander!!Kosraean","Guam!!One Race!!Native Hawaiian and Other Pacific Islander!!Marshallese","Guam!!One Race!!Native Hawaiian and Other Pacific Islander!!Palauan","Guam!!One Race!!Native Hawaiian and Other Pacific Islander!!Pohnpeian","Guam!!One Race!!Native Hawaiian and Other Pacific Islander!!Yapese","Guam!!One Race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander","Guam!!One Race!!Asian!!Total","Guam!!One Race!!Asian!!Filipino","Guam!!One Race!!Asian!!Korean","Guam!!One Race!!Asian!!Other Asian","Guam!!One Race!!White","Guam!!One Race!!Other Races [1]","Guam!!Two or More Races","Guam!!Hispanic or Latino (of any race)!!Total","Guam!!Hispanic or Latino (of any race)!!Mexican","Guam!!Hispanic or Latino (of any race)!!All Other Hispanic or Latino [2]","Guam!!Not Hispanic or Latino"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","153,836","138,395","70,809","92","50,420","10,274","456","180","2,149","2,096","1,533","3,609","54,586","44,793","3,438","6,355","10,491","2,509","15,441","4,522","1,740","2,782","149,314"
"        Under 5 years","10,626","8,683","5,891","15","3,526","1,299","45","19","114","212","128","533","2,041","1,725","79","237","629","122","1,943","353","170","183","10,273"
"        5 to 9 years","11,439","9,638","6,310","11","3,835","1,474","35","15","109","234","118","479","2,577","2,141","139","297","641","110","1,801","375","180","195","11,064"
"        10 to 14 years","12,232","10,339","6,531","N","4,261","1,298","53","20","177","214","130","375","3,192","2,708","147","337","527","89","1,893","359","164","195","11,873"
"        15 to 19 years","11,782","10,188","6,047","16","3,988","1,012","62","26","146","227","160","410","3,667","3,133","165","369","378","96","1,594","328","132","196","11,454"
"        20 to 24 years","11,889","10,519","5,291","N","3,579","784","43","23","142","198","155","366","3,504","3,075","158","271","1,276","448","1,370","555","284","271","11,334"
"        25 to 29 years","11,463","10,251","5,245","9","3,647","725","33","18","208","182","151","272","3,477","3,050","103","324","1,192","337","1,212","420","177","243","11,043"
"        30 to 34 years","10,028","9,113","4,557","6","3,173","741","25","8","145","139","120","200","3,261","2,725","172","364","1,045","250","915","325","133","192","9,703"
"        35 to 39 years","9,456","8,680","4,137","N","2,830","686","33","9","136","129","115","196","3,445","2,822","220","403","853","245","776","227","109","118","9,229"
"        40 to 44 years","9,200","8,520","3,973","15","2,827","615","26","8","129","129","107","117","3,767","3,060","231","476","627","153","680","253","77","176","8,947"
"        45 to 49 years","10,145","9,528","4,627","4","3,550","495","37","10","158","145","93","135","4,355","3,305","359","691","433","113","617","203","62","141","9,942"
"        50 to 54 years","10,237","9,615","4,296","6","3,320","392","35","14","162","120","84","163","4,610","3,758","317","535","574","135","622","210","65","145","10,027"
"        55 to 59 years","9,865","9,175","3,966","N","3,217","267","17","N","167","90","78","125","4,564","3,659","384","521","521","124","690","261","56","205","9,604"
"        60 to 64 years","8,284","7,771","3,273","N","2,730","199","5","5","136","45","45","107","3,859","3,098","327","434","529","110","513","222","47","175","8,062"
"        65 to 69 years","6,686","6,289","2,638","N","2,254","169","6","N","93","17","26","71","3,026","2,367","234","425","543","82","397","132","34","98","6,554"
"        70 to 74 years","4,885","4,668","1,884","N","1,710","65","N","N","60","9","14","26","2,347","1,843","156","348","375","62","217","157","32","125","4,728"
"        75 to 79 years","2,637","2,548","949","N","862","24","N","N","38","N","7","17","1,391","1,097","144","150","194","14","89","58","8","50","2,579"
"        80 to 84 years","1,765","1,691","726","N","676","14","N","N","17","5","N","11","846","713","66","67","106","13","74","50","8","42","1,715"
"        85 years and over","1,217","1,179","468","N","435","15","N","N","12","N","N","6","657","514","37","106","48","6","38","34","N","32","1,183"
"    Male population","78,271","70,240","35,254","40","25,290","4,883","218","83","1,026","1,080","767","1,867","26,773","22,314","1,612","2,847","6,591","1,622","8,031","2,403","914","1,489","75,868"
"        Under 5 years","5,575","4,558","3,056","5","1,878","632","20","12","72","102","63","272","1,094","916","42","136","344","64","1,017","191","86","105","5,384"
"        5 to 9 years","5,897","4,962","3,277","N","2,008","721","17","6","60","141","55","268","1,314","1,080","79","155","316","55","935","191","97","94","5,706"
"        10 to 14 years","6,249","5,294","3,312","N","2,205","636","19","10","90","110","54","188","1,657","1,406","67","184","280","45","955","188","84","104","6,061"
"        15 to 19 years","6,092","5,288","3,110","13","2,028","540","32","10","79","124","81","203","1,899","1,606","95","198","220","59","804","168","68","100","5,924"
"        20 to 24 years","6,324","5,570","2,603","N","1,772","373","18","11","74","91","80","184","1,829","1,602","77","150","850","288","754","308","156","152","6,016"
"        25 to 29 years","6,052","5,387","2,666","N","1,878","321","13","10","106","100","87","149","1,744","1,544","64","136","768","209","665","239","96","143","5,813"
"        30 to 34 years","5,247","4,755","2,334","4","1,635","342","15","N","68","77","66","124","1,652","1,419","78","155","610","159","492","195","80","115","5,052"
"        35 to 39 years","4,793","4,408","2,067","N","1,443","310","20","4","70","57","55","107","1,672","1,411","104","157","508","161","385","116","59","57","4,677"
"        40 to 44 years","4,664","4,297","2,001","7","1,475","272","12","5","58","59","50","63","1,801","1,545","102","154","401","94","367","127","35","92","4,537"
"        45 to 49 years","5,031","4,709","2,293","N","1,793","207","19","5","83","71","57","55","2,065","1,659","152","254","273","78","322","99","27","72","4,932"
"        50 to 54 years","5,198","4,881","2,213","N","1,714","202","18","5","78","56","39","98","2,173","1,818","140","215","394","101","317","118","32","86","5,080"
"        55 to 59 years","5,040","4,664","1,939","N","1,606","111","9","N","71","46","37","59","2,249","1,810","194","245","390","86","376","140","33","107","4,900"
"        60 to 64 years","4,140","3,900","1,547","N","1,307","97","N","N","48","31","24","36","1,886","1,534","123","229","375","92","240","130","26","104","4,010"
"        65 to 69 years","3,190","2,991","1,182","N","1,016","79","N","N","30","8","8","36","1,387","1,106","99","182","359","63","199","57","12","45","3,133"
"        70 to 74 years","2,371","2,264","846","N","778","20","N","N","22","4","10","12","1,078","826","72","180","291","49","107","73","17","56","2,298"
"        75 to 79 years","1,139","1,095","369","N","340","11","N","N","11","N","N","5","595","466","64","65","125","6","44","23","N","20","1,116"
"        80 to 84 years","802","765","283","N","261","7","N","N","6","N","N","7","409","339","41","29","64","9","37","30","N","27","772"
"        85 years and over","467","452","156","N","153","N","N","N","N","N","N","N","269","227","19","23","23","4","15","10","N","10","457"
"    Female population","75,565","68,155","35,555","52","25,130","5,391","238","97","1,123","1,016","766","1,742","27,813","22,479","1,826","3,508","3,900","887","7,410","2,119","826","1,293","73,446"
"        Under 5 years","5,051","4,125","2,835","10","1,648","667","25","7","42","110","65","261","947","809","37","101","285","58","926","162","84","78","4,889"
"        5 to 9 years","5,542","4,676","3,033","10","1,827","753","18","9","49","93","63","211","1,263","1,061","60","142","325","55","866","184","83","101","5,358"
"        10 to 14 years","5,983","5,045","3,219","N","2,056","662","34","10","87","104","76","187","1,535","1,302","80","153","247","44","938","171","80","91","5,812"
"        15 to 19 years","5,690","4,900","2,937","N","1,960","472","30","16","67","103","79","207","1,768","1,527","70","171","158","37","790","160","64","96","5,530"
"        20 to 24 years","5,565","4,949","2,688","N","1,807","411","25","12","68","107","75","182","1,675","1,473","81","121","426","160","616","247","128","119","5,318"
"        25 to 29 years","5,411","4,864","2,579","7","1,769","404","20","8","102","82","64","123","1,733","1,506","39","188","424","128","547","181","81","100","5,230"
"        30 to 34 years","4,781","4,358","2,223","N","1,538","399","10","5","77","62","54","76","1,609","1,306","94","209","435","91","423","130","53","77","4,651"
"        35 to 39 years","4,663","4,272","2,070","N","1,387","376","13","5","66","72","60","89","1,773","1,411","116","246","345","84","391","111","50","61","4,552"
"        40 to 44 years","4,536","4,223","1,972","8","1,352","343","14","N","71","70","57","54","1,966","1,515","129","322","226","59","313","126","42","84","4,410"
"        45 to 49 years","5,114","4,819","2,334","N","1,757","288","18","5","75","74","36","80","2,290","1,646","207","437","160","35","295","104","35","69","5,010"
"        50 to 54 years","5,039","4,734","2,083","N","1,606","190","17","9","84","64","45","65","2,437","1,940","177","320","180","34","305","92","33","59","4,947"
"        55 to 59 years","4,825","4,511","2,027","N","1,611","156","8","N","96","44","41","66","2,315","1,849","190","276","131","38","314","121","23","98","4,704"
"        60 to 64 years","4,144","3,871","1,726","N","1,423","102","N","5","88","14","21","71","1,973","1,564","204","205","154","18","273","92","21","71","4,052"
"        65 to 69 years","3,496","3,298","1,456","N","1,238","90","N","N","63","9","18","35","1,639","1,261","135","243","184","19","198","75","22","53","3,421"
"        70 to 74 years","2,514","2,404","1,038","N","932","45","N","N","38","5","4","14","1,269","1,017","84","168","84","13","110","84","15","69","2,430"
"        75 to 79 years","1,498","1,453","580","N","522","13","N","N","27","N","6","12","796","631","80","85","69","8","45","35","5","30","1,463"
"        80 to 84 years","963","926","443","N","415","7","N","N","11","N","N","4","437","374","25","38","42","4","37","20","5","15","943"
"        85 years and over","750","727","312","N","282","13","N","N","12","N","N","5","388","287","18","83","25","N","23","24","N","22","726"
"MEDIAN AGE BY SEX","","","","","","","","","","","","","","","","","","","","","","",""
"    Both sexes","33.7","35.3","30.1","25.0","33.7","20.3","24.0","22.3","36.0","24.1","27.4","20.1","42.9","41.7","49.3","45.7","32.9","30.8","21.7","28.4","24.0","32.6","33.9"
"    Male","32.7","34.2","29.3","29.0","32.6","19.0","26.0","20.9","32.3","23.1","28.1","20.1","41.5","40.6","48.5","44.9","34.3","32.7","22.1","28.0","23.9","31.8","32.9"
"    Female","34.7","36.4","31.1","21.5","34.9","21.6","23.5","22.8","40.2","24.6","26.6","20.1","44.1","42.8","50.0","46.3","30.9","28.3","21.2","28.8","24.2","33.9","34.9"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","",""
"    Males 15 years and over in households (excluding people in military housing units)","55,860","50,953","24,743","34","18,759","2,686","161","49","784","696","574","1,000","21,228","17,571","1,404","2,253","3,983","999","4,907","1,511","475","1,036","54,349"
"        Now married, except separated","27,598","25,888","10,341","14","8,117","1,001","88","15","294","268","212","332","12,416","10,039","954","1,423","2,570","561","1,710","743","240","503","26,855"
"        Separated","534","506","243","N","195","27","N","N","N","5","4","8","207","155","16","36","42","14","28","18","5","13","516"
"        Widowed","1,220","1,151","602","N","503","47","N","N","15","11","11","14","450","390","20","40","84","15","69","27","6","21","1,193"
"        Divorced","2,930","2,627","1,289","N","1,166","23","N","N","33","13","10","39","852","642","84","126","377","109","303","113","21","92","2,817"
"        Never married","23,578","20,781","12,268","20","8,778","1,588","68","31","440","399","337","607","7,303","6,345","330","628","910","300","2,797","610","203","407","22,968"
"    Females 15 years and over in households (excluding people in military housing units)","57,102","52,531","26,161","29","19,462","3,253","156","64","933","685","541","1,038","23,786","19,160","1,613","3,013","2,095","489","4,571","1,371","458","913","55,731"
"        Now married, except separated","27,518","25,896","10,497","15","8,097","1,127","77","21","340","280","175","365","13,779","10,793","1,091","1,895","1,336","284","1,622","639","232","407","26,879"
"        Separated","662","614","363","N","240","75","N","N","15","7","10","11","237","200","15","22","8","6","48","22","5","17","640"
"        Widowed","4,791","4,573","2,337","N","1,946","167","10","6","109","17","26","55","2,096","1,746","99","251","116","24","218","113","21","92","4,678"
"        Divorced","3,624","3,290","1,723","N","1,516","70","N","N","67","13","18","35","1,337","934","150","253","192","38","334","123","33","90","3,501"
"        Never married","20,507","18,158","11,241","13","7,663","1,814","65","32","402","368","312","572","6,337","5,487","258","592","443","137","2,349","474","167","307","20,033"
"CHILDREN EVER BORN (FERTILITY)","","","","","","","","","","","","","","","","","","","","","","",""
"    Females 15 years and over in households (excluding people in military housing units)","57,102","52,531","26,161","29","19,462","3,253","156","64","933","685","541","1,038","23,786","19,160","1,613","3,013","2,095","489","4,571","1,371","458","913","55,731"
"        No children","18,351","16,336","7,859","4","5,644","1,000","56","21","254","221","194","465","7,407","6,029","450","928","849","221","2,015","508","203","305","17,843"
"        1 child","7,663","7,077","3,235","6","2,408","364","17","6","144","92","79","119","3,463","2,528","320","615","302","77","586","195","63","132","7,468"
"        2 children","10,587","9,867","3,948","5","3,039","420","17","6","154","90","84","133","5,330","3,943","519","868","488","101","720","241","81","160","10,346"
"        3 children","8,716","8,170","4,010","4","3,166","422","25","10","133","79","57","114","3,875","3,270","217","388","239","46","546","198","61","137","8,518"
"        4 children","5,395","5,064","3,023","6","2,307","367","15","5","102","91","40","90","1,894","1,730","54","110","118","29","331","127","33","94","5,268"
"        5 or more children","6,390","6,017","4,086","4","2,898","680","26","16","146","112","87","117","1,817","1,660","53","104","99","15","373","102","17","85","6,288"
"    Females 15 to 24 years in households (excluding people in military housing units)","10,648","9,290","5,522","4","3,750","861","50","22","131","191","138","375","3,412","2,985","149","278","259","97","1,358","288","133","155","10,360"
"        Children ever born","2,304","2,094","1,696","1","1,151","298","6","6","33","63","53","85","324","287","9","28","41","33","210","65","36","29","2,239"
"            Per 1,000 females","216","225","307","250","307","346","120","273","252","330","384","227","95","96","60","101","158","340","155","226","271","187","216"
"    Females 25 to 34 years in households (excluding people in military housing units)","9,693","8,744","4,742","9","3,280","789","30","12","174","141","115","192","3,280","2,774","129","377","575","147","949","255","102","153","9,438"
"        Children ever born","13,442","12,311","8,512","17","5,529","1,918","53","28","232","268","147","320","3,185","2,758","110","317","497","117","1,131","240","97","143","13,202"
"            Per 1,000 females","1,387","1,408","1,795","1,889","1,686","2,431","1,767","2,333","1,333","1,901","1,278","1,667","971","994","853","841","864","796","1,192","941","951","935","1,399"
"    Females 35 to 44 years in households (excluding people in military housing units)","8,802","8,124","3,997","10","2,710","709","27","8","137","142","116","138","3,676","2,898","242","536","346","105","678","202","73","129","8,600"
"        Children ever born","20,699","19,131","11,479","42","7,399","2,387","95","39","352","510","299","356","6,843","5,679","322","842","630","179","1,568","425","141","284","20,274"
"            Per 1,000 females","2,352","2,355","2,872","4,200","2,730","3,367","3,519","4,875","2,569","3,592","2,578","2,580","1,862","1,960","1,331","1,571","1,821","1,705","2,313","2,104","1,932","2,202","2,357"
"    Females 45 years and over in households (excluding people in military housing units)","27,959","26,373","11,900","6","9,722","894","49","22","491","211","172","333","13,418","10,503","1,093","1,822","915","140","1,586","626","150","476","27,333"
